device_name,manage_ip,produce,os_software_version,device_type,serial_number,login_u_p,location,warranty_expiration,service_contract,last_modification_timestamp,initialization_timestamp,comments,device_op
pnr01isp,172.25.20.128,ISR4451-X/K9,isr4400-universalk9.03.16.04b.S.155-3.S4b-ext.SPA.,router,FGL202511HA,AD,SH-IDC,9/18/2019,95598639,2020-07-01 15:19:16,2020-07-01 15:19:16,CISCO ID:bby-network,正常(Normal)
pnr01nso,172.25.18.165,ISR4451-X/K9,isr4400-universalk9.03.16.03.S.155-3.S3-ext.SPA.bi,router,FGL202511HE,AD,SH-IDC,6/30/2021,95598639,2020-07-01 15:38:54,2020-07-01 15:38:54,CISCO ID:bby-network,正常(Normal)
PSP03BKUP,172.25.16.62,HP DL360p G8,,server,,,SH-IDC,,,2020-07-06 15:46:27,2020-07-06 15:28:22,,正常(Normal)
PSP02TL,172.25.16.31,HP Tape LibraryMSL2024,,other,,,SH-IDC,,,2020-07-06 15:34:42,2020-07-06 15:30:06,,正常(Normal)
NETAPP,172.25.17.70,NETAPP,,other,,,SH-IDC,,,2020-07-06 15:34:49,2020-07-06 15:31:55,,正常(Normal)
PDW40MADIN610, 172.25.16.23, HP DL380 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:34:55,2020-07-06 15:32:22,,正常(Normal)
PSP04OMS,172.25.16.50,Vmware,,server,,,SH-IDC,,,2020-07-06 15:35:01,2020-07-06 15:32:54,,正常(Normal)
 PSP03IAS , 172.25.16.9 , Vmware ,,server,,,SH-IDC,,,2020-07-06 15:35:07,2020-07-06 15:34:09,,正常(Normal)
 PSP04FC1 , 172.25.16.47 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:46:54,2020-07-06 15:35:42,,正常(Normal)
 PDW40TREND001 , 172.25.16.54 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:00,2020-07-06 15:36:00,,正常(Normal)
 PDW40TREND002 , 172.25.16.55 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:16,2020-07-06 15:36:16,,正常(Normal)
 PSP01CAR , 172.25.16.56 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:31,2020-07-06 15:36:31,,正常(Normal)
 PSP01Legal , 172.25.16.57 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:36:46,2020-07-06 15:36:46,,正常(Normal)
 PSP10UTIL , 172.25.16.58 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:37:44,2020-07-06 15:37:44,,正常(Normal)
 PDW40MADUT300 , 172.25.16.60 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:05,2020-07-06 15:38:05,,正常(Normal)
 PDW40MADTS600 , 172.25.16.61 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:20,2020-07-06 15:38:20,,正常(Normal)
 PSP05MON , 172.25.16.200 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:34,2020-07-06 15:38:34,,正常(Normal)
 PSP15UTIL , 172.25.16.70 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:38:49,2020-07-06 15:38:49,,正常(Normal)
 PDW40MADIN601 , 172.25.16.66 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:15,2020-07-06 15:39:15,,正常(Normal)
 PSP01SEC , 172.25.16.67 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:28,2020-07-06 15:39:28,,正常(Normal)
 PSP02SEC , 172.25.16.68 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:39:45,2020-07-06 15:39:45,,正常(Normal)
 PSP01VCSA60 , 172.25.16.72 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:02,2020-07-06 15:40:02,,正常(Normal)
 PDL04GFNIN004 , 172.25.16.73 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:16,2020-07-06 15:40:16,,正常(Normal)
 PSP01TCDB , 172.25.16.74 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:40:30,2020-07-06 15:40:30,,正常(Normal)
 PSP05FC1 , 172.25.61.42 , DL360 Gen9 ,,server, 6CU520Y6HS ,,SH-IDC,,,2020-07-06 15:40:51,2020-07-06 15:40:51,,正常(Normal)
 PSP04IAS , 172.25.61.40 , DL360 Gen9 ,,server, 6CU520Y6J6 ,,SH-IDC,,,2020-07-06 15:41:11,2020-07-06 15:41:11,,正常(Normal)
 PDW40MADIN600 , 172.25.61.60 , DL380 Gen9 ,,server,,,SH-IDC,,,2020-07-06 15:41:31,2020-07-06 15:41:31,,正常(Normal)
 PSP04ESXI , 172.25.62.20 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:41:56,2020-07-06 15:41:56,,正常(Normal)
 PSP05ESXI , 172.25.62.21 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:42:15,2020-07-06 15:42:15,,正常(Normal)
 PSP06FC1 , 172.25.40.23 , DL360 Gen9 ,,server, 6CU638WA5N ,,SH-IDC,,,2020-07-06 15:42:39,2020-07-06 15:42:39,,正常(Normal)
 PDW01MADIN600 , 168.94.45.140 , DL380G7 ,,server,,,SH-IDC,,,2020-07-06 15:42:58,2020-07-06 15:42:58,,正常(Normal)
 PDW02MADIN600 , 168.94.141.15 , DL380G7 ,,server,,,SH-IDC,,,2020-07-06 15:43:13,2020-07-06 15:43:13,,正常(Normal)
 PSP01AVEC , 172.25.16.75 ,Vmware,,server,,,SH-IDC,,,2020-07-06 15:43:31,2020-07-06 15:43:31,,正常(Normal)
 PSP06ESXI , 172.25.16.51 , DL360 Gen10 ,,server, CN70170GLM ,,SH-IDC,,,2020-07-06 15:43:51,2020-07-06 15:43:51,,正常(Normal)
 PSP07ESXI , 172.25.16.52 , DL360 Gen10 ,,server, CN70170GLN ,,SH-IDC,,,2020-07-06 15:44:11,2020-07-06 15:44:11,,正常(Normal)
 PSP08ESXI , 172.25.16.53 , DL360 Gen10 ,,server, CN70170GLL ,,SH-IDC,,,2020-07-06 15:44:31,2020-07-06 15:44:31,,正常(Normal)
 PSP16UTIL , 172.25.61.53 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:44:49,2020-07-06 15:44:49,,正常(Normal)
 PSP17UTIL , 172.25.40.24 , DL360 Gen10 ,,server,,,SH-IDC,,,2020-07-06 15:45:06,2020-07-06 15:45:06,,正常(Normal)
PSP18UTIL, 10.193.13.30 , DL360 Gen10 ,,server, 4CE9200YNM ,,SH-IDC,,,2020-07-06 15:45:27,2020-07-06 15:45:27,,正常(Normal)
